Category ID,Category Title,Products,Pages,Category ID
4tg0z,Target / clothing / baby clothing / shop by size / 6-12m,1389,24,http://www.target.com/c/6-12m-shop-by-size-baby-clothing/-/N-4tg0z#?lnk=lnav_shop categories_5
4tg0w,Target / clothing / baby clothing / shop by size / toddler (2T-5T),1998,34,http://www.target.com/c/toddler-2t-5t-shop-by-size-baby-clothing/-/N-4tg0w#?lnk=lnav_shop categories_7
4y6lb,Target / clothing / baby clothing / unisex baby clothing,277,5,http://www.target.com/c/unisex-baby-clothing/-/N-4y6lb#?lnk=lnav_shop%20categories_2&intc=2808001%7Cnull
5xtxx,Target / clothing / boys' clothing / bottoms / shorts,199,4,http://www.target.com/c/shorts-bottoms-boys-clothing/-/N-5xtxx#?lnk=lnav_shop categories_3
4u9ui,Target / clothing / boys' clothing / boys' sizing,1537,26,http://www.target.com/c/boys-sizing-clothing/-/N-4u9ui#?lnk=lnav_shop%20categories_13&intc=2808002%7Cnull
5xtxw,Target / clothing / boys' clothing / dresswear,42,1,http://www.target.com/c/dresswear-boys-clothing/-/N-5xtxw#?lnk=lnav_shop%20categories_8&intc=2808002%7Cnull
55yiv,Target / clothing / boys' clothing / outfits,100,2,http://www.target.com/c/outfits-boys-clothing/-/N-55yiv#?lnk=lnav_shop%20categories_12&intc=2808002%7Cnull
5xtxt,Target / clothing / boys' clothing / socks,98,2,http://www.target.com/c/socks-boys-clothing/-/N-5xtxt#?lnk=lnav_shop%20categories_9&intc=2808002%7Cnull
4vr7t,Target / clothing / boys' clothing / swimsuits / trunks,121,3,http://www.target.com/c/trunks-swimsuits-boys-clothing/-/N-4vr7t#?lnk=lnav_null_1&intc=2320053%7Cnull
55to3,Target / clothing / boys' clothing / tops / graphic tees,392,7,http://www.target.com/c/graphic-tees-tops-boys-clothing/-/N-55to3#?lnk=lnav_shop categories_1
55q4p,Target / clothing / boys' clothing / tops / jackets & blazers,14,1,http://www.target.com/c/jackets-blazers-tops-boys-clothing/-/N-55q4p#?lnk=lnav_shop categories_3
5xtxp,Target / clothing / boys' clothing / tops / sweaters,12,1,http://www.target.com/c/sweaters-tops-boys-clothing/-/N-5xtxp#?lnk=lnav_shop categories_5
4y6md,Target / clothing / girls' clothing / bottoms / jeans / bootcut jeans,5,1,http://www.target.com/c/bootcut-jeans-bottoms/-/N-4y6md#?lnk=lnav_shop categories_1
4y6mg,Target / clothing / girls' clothing / bottoms / jeans / jegging,4,1,http://www.target.com/c/jegging-jeans-bottoms/-/N-4y6mg#?lnk=lnav_shop categories_2
4xvq5,Target / clothing / girls' clothing / bottoms / leggings,70,2,http://www.target.com/c/leggings-bottoms-girls-clothing/-/N-4xvq5#?lnk=lnav_shop categories_2
5xtw3,Target / clothing / girls' clothing / bottoms / shorts,136,3,http://www.target.com/c/shorts-bottoms-girls-clothing/-/N-5xtw3#?lnk=lnav_shop categories_4
4u9uh,Target / clothing / girls' clothing / girls' sizing,2348,40,http://www.target.com/c/girls-sizing-clothing/-/N-4u9uh#?lnk=lnav_shop%20categories_13&intc=2808003%7Cnull
55yiu,Target / clothing / girls' clothing / outfits,137,3,http://www.target.com/c/outfits-girls-clothing/-/N-55yiu#?lnk=lnav_shop%20categories_12&intc=2808003%7Cnull
5xtvw,Target / clothing / girls' clothing / socks & tights,152,3,http://www.target.com/c/socks-tights-girls-clothing/-/N-5xtvw#?lnk=lnav_shop%20categories_4&intc=2808003%7Cnull
4xnw5,Target / clothing / girls' clothing / swimsuits / bikini sets,54,1,http://www.target.com/c/bikini-sets-swimsuits-girls-clothing/-/N-4xnw5#?lnk=lnav_%20%09%09%09%09%09%09shop%20categories%09%09%09%09%09_1&intc=3338065%7Cnull
553h4,Target / clothing / girls' clothing / tops / graphic tees,139,3,http://www.target.com/c/graphic-tees-tops-girls-clothing/-/N-553h4#?lnk=lnav_shop categories_1
55q4o,Target / clothing / girls' clothing / tops / jackets & blazers,33,1,http://www.target.com/c/jackets-blazers-tops-girls-clothing/-/N-55q4o#?lnk=lnav_shop categories_3
551pl,Target / clothing / girls' clothing / tops / shirts & polos,116,2,http://www.target.com/c/shirts-polos-tops-girls-clothing/-/N-551pl#?lnk=lnav_shop categories_4
4xwiq,Target / clothing / girls' clothing / tops / tanks & camis,194,4,http://www.target.com/c/tanks-camis-tops-girls-clothing/-/N-4xwiq#?lnk=lnav_shop categories_6
5xu2e,Target / clothing / men's clothing / activewear,114,2,http://www.target.com/c/activewear-men-s-clothing/-/N-5xu2e#?lnk=ct_menu_01_24&intc=1865087|null
5xu2a,Target / clothing / men's clothing / jackets & coats,42,1,http://www.target.com/c/jackets-coats-men-s-clothing/-/N-5xu2a#?lnk=ct_menu_01_27&intc=1865087|null
5xu29,Target / clothing / men's clothing / pants,151,3,http://www.target.com/c/pants-men-s-clothing/-/N-5xu29#?lnk=ct_menu_01_30&intc=1865087|null
5xu24,"Target / clothing / men's clothing / sleepwear, pajamas & robes / robes",6,1,http://www.target.com/c/robes-sleepwear-pajamas-men-s-clothing/-/N-5xu24#?lnk=lnav_shop categories_2
5xu21,Target / clothing / men's clothing / socks,372,7,http://www.target.com/c/socks-men-s-clothing/-/N-5xu21#?lnk=ct_menu_01_34&intc=1865087|null
5xu20,Target / clothing / men's clothing / suits,23,1,http://www.target.com/c/suits-men-s-clothing/-/N-5xu20#?lnk=ct_menu_01_35&intc=1865087|null
55q4q,Target / clothing / school uniforms / girls' uniforms,113,2,http://www.target.com/c/girls-uniforms-school-clothing/-/N-55q4q#?lnk=lnav_shop%20categories_1&intc=2789006%7Cnull
54xqt,Target / clothing / school uniforms / juniors' uniforms,8,1,http://www.target.com/c/juniors-uniforms-school-clothing/-/N-54xqt#?lnk=lnav_shop%20categories_3&intc=2789006%7Cnull
56c9t,Target / clothing / school uniforms / young men's uniforms,6,1,http://www.target.com/c/young-men-s-uniforms-school-clothing/-/N-56c9t#?lnk=lnav_shop%20categories_4&intc=2789006%7Cnull
56h26,Target / clothing / women's clothing / athleisure,177,3,http://www.target.com/c/athleisure-women-s-clothing/-/N-56h26#?lnk=lnav_ shop categories_6&intc=2542557|null
