url,name,full name,items,ta pages
http://www.belk.com/AST/Main/Belk_Primary/Young_Mens/Shop/Activewear/ShopbyActivity.jsp,Shop by Activity,Shop  /  Men  /  Young Men's  /  Activewear & Outdoor  /  Shop by Activity,692,35
http://www.belk.com/AST/Main/Belk_Primary/Kids/Shop/Babies/Boys.jsp,Baby Boy (0-24m),Shop  /  Kids  /  Baby Boy (0-24m),691,35
http://www.belk.com/AST/Main/Belk_Primary/Jewelry_And_Watches/Shop/Watches/Mens/Luxury.jsp,Luxury,Shop  /  Men  /  Watches  /  Luxury,691,35
http://www.belk.com/AST/Main/Belk_Primary/Women/Shop/Dresses/ShopByOccasion/WeddingGuest.jsp,Wedding Guest,Shop  /  Women  /  Dresses  /  Shop By Occasion  /  Wedding Guest,684,35
http://www.belk.com/AST/Main/Belk_Primary/Men/Shop/Accessories/Jewelry.jsp,Jewelry & Cuff Links,Shop  /  Men  /  Accessories  /  Jewelry & Cuff Links,683,35
http://www.belk.com/AST/Main/Belk_Primary/Kids/Featured_Shop/Activewear.jsp,Activewear,Shop  /  Kids  /  Activewear,679,34
http://www.belk.com/AST/Main/Belk_Primary/Kids/Shop/Toys.jsp,Toys & Games,Shop  /  Kids  /  Toys & Games,674,34
http://www.belk.com/AST/Main/Belk_Primary/Women/Shop/Designer/Dresses.jsp,Dresses,Shop  /  Women  /  Designer  /  Dresses,667,34
http://www.belk.com/AST/Main/Belk_Primary/Women/Shop/Dresses/Designer.jsp,Designer,Shop  /  Women  /  Dresses  /  Designer,667,34
http://www.belk.com/AST/Main/Belk_Primary/Women_Plus/Shop/Intimates.jsp,"Bras, Panties & Lingerie","Shop  /  Women  /  Women's Plus  /  Bras, Panties & Lingerie",661,34
http://www.belk.com/AST/Main/Belk_Primary/Beauty_And_Fragrance/Shop/Skincare/Concern.jsp,Concern,Shop  /  Beauty & Fragrance  /  Skincare  /  Concern,660,33
http://www.belk.com/AST/Main/Belk_Primary/For_the_Home/Shop/Kitchen/CookwareMore/ShopbyMaterial/Nonstick.jsp,Nonstick,Shop  /  For the Home  /  Kitchen  /  Cookware  /  Shop by Material  /  Nonstick,655,33
http://www.belk.com/AST/Main/Belk_Primary/Shoes/Shop/Womens/Contemporary.jsp,Contemporary,Shop  /  Shoes  /  Contemporary,653,33
http://www.belk.com/AST/Main/Belk_Primary/Juniors/Shop/Accessories.jsp,Accessories,Shop  /  Juniors  /  Accessories,652,33
http://www.belk.com/AST/Main/Belk_Primary/BedBath/Shop/Bath.jsp,« Back to Bath,Shop  /  Bed & Bath  /  Bath Accessories  /  « Back to Bath,650,33
http://www.belk.com/AST/Main/Belk_Primary/Young_Mens/Shop/Accessories/Wallets.jsp,Wallets,Shop  /  Men  /  Young Men's  /  Accessories  /  Wallets,645,33
http://www.belk.com/AST/Main/Belk_Primary/Shoes/Shop/Womens/Sandals.jsp,Sandals,Shop  /  Shoes  /  Sandals,640,32
http://www.belk.com/AST/Main/Belk_Primary/For_the_Home/Shop/Kitchen/Electrics.jsp,Small Appliances,Shop  /  For the Home  /  Kitchen  /  Small Appliances,632,32
http://www.belk.com/AST/Main/Belk_Primary/BedBath/Featured_Shop/SportsFan/NCAA.jsp,NCAA,Shop  /  Bed & Bath  /  Sports Fan  /  NCAA,626,32
http://www.belk.com/AST/Main/Belk_Primary/BedBath/Featured_Shop/Gifts/FortheSportsFan/NCAA.jsp,NCAA,Shop  /  Bed & Bath  /  Gifts for All  /  For the Sports Fan  /  NCAA,626,32
http://www.belk.com/AST/Main/Belk_Primary/Beauty_And_Fragrance/Shop/Accessories.jsp,Tools & Accessories,Shop  /  Beauty & Fragrance  /  Tools & Accessories,621,32
http://www.belk.com/AST/Main/Belk_Primary/Men/Shop/SportsFan/NCAA/Accessories/Wallets.jsp,Wallets,Shop  /  Men  /  Sports Fan  /  NCAA  /  Accessories  /  Wallets,620,31
http://www.belk.com/AST/Main/Belk_Primary/Young_Mens/Shop/SportsFan/NCAA/Accessoires/Wallets.jsp,Wallets,Shop  /  Men  /  Young Men's  /  Sports Fan  /  NCAA  /  Accessories  /  Wallets,620,31
http://www.belk.com/AST/Main/Belk_Primary/Women/Shop/Sweaters.jsp,Sweaters,Shop  /  Women  /  Sweaters,618,31
http://www.belk.com/AST/Main/Belk_Primary/Jewelry_And_Watches/Shop/FineJewelry/Rings/Novelty.jsp,Novelty,Shop  /  Jewelry & Watches  /  Rings  /  Novelty,617,31
http://www.belk.com/AST/Main/Belk_Primary/Jewelry_And_Watches/Shop/FashionJewelry/NecklacesPendants/Pendant.jsp,Pendant,Shop  /  Jewelry & Watches  /  Necklaces & Pendants  /  Pendant,611,31
http://www.belk.com/AST/Main/Belk_Primary/For_the_Home/Shop/Dining_Entertaining/Casual_Dinnerware.jsp,Casual Dinnerware,Shop  /  For the Home  /  Dining & Entertaining  /  Casual Dinnerware,609,31
http://www.belk.com/AST/Main/Belk_Primary/Jewelry_And_Watches/Featured_Shop/PersonalizedJewelry.jsp,Personalized Jewelry,Shop  /  Jewelry & Watches  /  Personalized Jewelry,602,31
http://www.belk.com/AST/Main/Belk_Primary/Beauty_And_Fragrance/Shop/Beauty/Face.jsp,Face,Shop  /  Beauty & Fragrance  /  Makeup  /  Face,598,30
